"","ResponseId","desc_inapp"
"253","R_DzS2BTRDWNaj89X","It would wrong to hold a grudge when a person offers an opinion that is different from your's, that opinion is up for interpretation and not obviously wrong, yet one of the parties does not get his way and decides to hold a grudge beacuse of this."
"254","R_3smofuS8hQm38cU","Something was an accident and the other party apologized"
"255","R_26lP0kTtiX1cqje","I think it's wrong to hold a grudge for the small little things, for example when someone doesn't give back the pen you borrowed."
"256","R_2QuMK66yNDyLyAx","When someone unintentionally does something to hurt you/your feelings/isn't aware they hurt your feelings, and they try to apologize and take responsibility for their actions."
"257","R_25vIsaATrTRK08w","A time where its wrong to hold a grudge would be for an insignificant issue. An example being someone cut in front of you in the line. Of course it's not right, but there is no use in holding a grudge against the person."
"258","R_1gi5UYZwk7sD1eU","I think it is wrong to hold a grudge over stupid things such as someone owing you 30$."
"259","R_DOCpJKrjgFhHRXX","When someone overreacts to an honest mistake or a misunderstanding. Sometimes people can be too quick to cut people out of their lives for the smallest things when the problem itself could be easily resolved."
"260","R_3F5aCNUXr8qDFT4","it is wrong to hold a grudge against an individual"
"261","R_3MJz1ZtvoipJJA0","if someone does something harmful but without meaning it"
"262","R_1IQO6uqSO8wEa3K","holding a grudge for something beyond control is stupidity"
"263","R_1dFYm2XhVD2Hgwj","if it is over something like oppinen"
"264","R_1JDYH0ZuvkQSbKn","I think it is wrong to hold a grudge when a mistake was made it was a one-time accident. For example, if a stranger calls a person she/her but the person identifies as he/him, it is wrong to hold a grudge because the stranger did not know better."
"265","R_2rOAkuu3YYSkvNB","I'm not really sure. Maybe when someone exhibited the best of intentions but still made a mistake in some way (not sure what this would be) and was incredibly apologetic, it maybe wouldn't make the most sense to hold a grudge, but I don't know if I could say it would be wrong."
"266","R_1QthCZUZx4RmDrV","Personally, I feel its always wrong to hold a grudge. one should practice forgiveness"
"267","R_3kcRuIfrr2d8xih","when someone make joke that reflects to person who feel insulted but it wasn't in that way"
"268","R_viguJrdHA38n95L",NA
"269","R_3lWiTv4p2yn1wFc","If your loved one unintentionally drops your food on the floor."
"270","R_27pX5oXzc7UKZnP","It is wrong to hold a grudge for minor circumstances - for things that don't affect you long term. For example, I had friends that over the years hurt me emotionally. While I will not trust them to the extent I once did - I let them back into my life and forgave them. It's not worth it to hold onto that anger."
"271","R_1OTUQDJB4vUit2P","It's wrong to hold a grudge if the person has remorse, apologizes, and plans to change their behavior. It's wrong to hold a grudge if holding it does more harm to the holder."
"272","R_RqMP9ybaNWA7AAx","A late pizza delivery. I think it would be totally fine to be a little annoyed or even angry. But in this situation it's easy to jump to conclusions and maybe blame the delivery person or the pizza establishment, but for all you know they could have genuinely been trying their best and the situation was just out of their control. In that case, it's much better to be understanding than to hold a grudge. If it really was their fault, simply don't order from them again and move on."
"273","R_3dDOe3nozEd8N0i","Maybe if a friend doesn't want to go out a specific night."
"274","R_23gJfamZutZ4KJl","Usually family squabbles. When its easy to get along but both people are hard headed or stubborn."
"275","R_VUqv4pPJdWmyRZ7","When someone points out my mistake and I know I was wrong."
"276","R_2dYieYWeVMN3TFR","If a person says they are sorry for doing you wrong. Then you should not hold a grudge."
"277","R_wYvd4FlOCS2XqkF","Let's say your mom looks after her youngest child more than you. That's the wrong time to hold a grudge."
"278","R_1gCJDuCyIGBcvmq","After you reconciled with someone that offended you"
"279","R_3OjOyMlI4MbCySY","If someone does something by mistake and apologizes for it, like spilling a drink on someone and apologizing, that is a situation where it is unnecessary to hold a grudge because it is not a big deal."
"280","R_2CfwymlHA9JsBJP","FOR A MINOR VIOLATION, WHICH IS NOT SO CRUEL OR BAD, SOMETHING LIKE AN ACCIDENT OR SOMETHING IMPRUDENTIAL"
"281","R_SPfpn9gUsBQrH8d","When someone negatively impacts your plans you had with them even though it was clearly the right thing for them to do personally."
"282","R_1i591l4ynN5Dh5m","I personally think it is morally wrong"
"283","R_2dAVkdHzt3qaCaw","For small concerns, like a person is late when you are supposed to meet up."
"284","R_28Y1bvcziyl3LIl","I think it’s always wrong because holding a grudge only holds you back, not the other person. Someone who hasn’t been hurt will let things go because it’s easy to do so. The person holding the grudge is the one who becomes burdened by it."
"285","R_24FYgboqHGC7Tby","I think it's wrong to hold a grudge if the offending party tries to make things right and ask for forgiveness on numerous occasions, yet the offended continues to hold a grudge. I think this is harmful for the offended as it may create mistrust and affect future relationships with others."
"286","R_qI4LHHJSIQa2JzP","when you don't have a real reason"
"287","R_32QPA2NDIeNy33s","when someone misunderstanding something"
"288","R_2zZT6XPjt8MYxD6","The problem with grudges  besides the  fact that they  are a drag to carry around  we find the soothing kindness  and compassion that the  grudge itself desires."
"289","R_XRkFg5qHyaYUFgJ","When the wrongful act was committed while under the influence, due to mental illness, etc, and that person has since received treatment and is doing well. At that point, you don't necessarily have to forgive and forget, but you can forgive and move on from that situation. You can always have it in mind when trusting the person, if they're still around, but give them the benefit of the doubt unless proven otherwise."
"290","R_3iKHkB2jpSEGWhG","Being jealous for someone success and you had a grudge against the person is not good"
"291","R_Z7S0Z7IDiLL80M1","It is wrong to hold a grudge if someone offended you but didn't do it willfully."
"292","R_r2Z8AzYHVGUkUWB","I think if you and a friend or loved one are having a fight and they say something hurtful, you should not hold a grudge because it was in the heat of the moment and they may not have actually meant it."
"293","R_qI61GAYy15e7PTb","When for no reason one start to feel jealous about someone and as a result hold grudges with the person."
"294","R_UAdLWt1NEeUn6s9","All the time"
"295","R_eXSYtEiGDyHrSdr","When someone takes advantage of you for the fifteenth time, borrowing money you couldn't afford to loan out, you do not have the right to hold a grudge because you are the one to blame."
"296","R_24NqHarZuI2cohm","if the person apoligizes from there heart and you see the person working hard so that never happens agian"
"297","R_wUcbLLwZwepnDGh","It is wrong to hold a grudge when someone fairly beat you in a competition or contest."
"298","R_XiSCtEIur1wdrUZ","and when it don't  happen especially"
"299","R_2QoBllU0ZOIaqqY","Over stupid situations and childish things."
"300","R_333xdzTr1StV4IR","I believe I've clearly described my feelings on holding grudges in the above paragraph. But I guess you could say doing so is especially wrong when the targeted person or entity has done nothing to deserve the rancor."
"301","R_1BW4wKvdU5cxpSU","When the situation distracts you from being happy or going about your life. When you have to actively avoid a situation or if the grudge restricts you in any way."
"302","R_3HGqr6sdbl6GPdW","someone has wronged you in some way."
"303","R_1IuAnxaGfHYpItF","I am all about fairness or want to make sure that I  see my side of things."
"304","R_2uqx0fQyCp4fpam","lost your cool over something unrelated"
"305","R_PHW5sNQBoQDGxEt","when it's for a misunderstanding or a simple resolvable conflict"
"306","R_DPtcIk5DgldJlZf","When you hold it against someone who didn't willfully make a poor judgement."
"307","R_1f2QXT4R5xxgceF","There was a misunderstanding."
"308","R_yDBfdKMr2V7zb8t","When I am harmed by another when it is not their intention."
"309","R_3lrJhEIvTZ43XR8","if someone hurt your feelings"
"310","R_33xO2qEkGj63B8p","In most cases it is wrong, I think people shouldn't hold grudges."
"311","R_1q4eT0nBqRQjUrE","In an instance where a person really didn't intend to wrong someone, or was very misunderstood."
"312","R_2qlUm16lRfAoLHc","If the person made a genuine mistake or there was a miscommunication that led to a falling out in the relationship."
"313","R_2q1mkTpkAGIYa2s","when someone makes a simple mistake"
"314","R_1OV1sGbM5b9BXKp","If someone unintentionally causes harm."
"315","R_26fiYeF60S4D3Yp","Somebody did something to you by accident and then apologized."
"316","R_3rSavq0k7Sa2ToR","when the act was unintentional"
"317","R_U9qVMEifirWC2m5","If someone were to make an honest mistake, with good intentions that did not have a large or lasting negative impact on quality of life."
"318","R_Diw81stNkxOzxv3","Someone didn't take your order correctly at a restaurant."
"319","R_3pgnqdUkWvA2pJK","When you were the person causing the issues"
"320","R_3konpTIjOAfMArJ","Someone cuts you off in traffic"
"321","R_2YSeeSnAs66TnuP","Something that is small and can be forgiven. It’s not worth holding the grudge against the person because it doesn’t affect your well being."
"322","R_3MlpHnrRM3sw2yA","Anytime, holding a grudge does more harm to you than it helps. It's best to just distance yourself from the person/situation as much as possible."
"323","R_3O1xFHTn7J4fHNI","Where someone has a minor indiscretion and expresses remorse."
"324","R_3hlsZE6hxAVEQgw","If it's a random night and you were planning to go to dinner with a friend but they need to study for an exam"
"325","R_3KTneBz1VuNyySU","Petty altercations like if someone stole a piece of gum from you and you over react"
"326","R_30war2nAEkQKCpM","If someone’s mad just for no reason"
"327","R_2pWVHrn70kC8BTF","somebody accidentially eats your food"
"328","R_21h4GFv6NG4Jk2n","Loved one is arrested for domestic abuse"
"329","R_2rDvn2d5Qo8O7PM","I think when someone apologizes to you for a mistake they made, especially a small one, it's wrong to hold any grudges."
"330","R_1mmjsJNQiPIarzk","If another applicant got hired over you."
"331","R_vjYiAc8JGzQsCIN","Anything minor that does not cause long-term damage. A friend taking the last cookie or snack I wanted is a wrong thing to harbor a grudge for."
"332","R_2ebt0kx2il7YFih","If someone couldn't make your party because of an emergency"
"333","R_294yiF5CrziQBAA","Somthing silly like talked about you behind your back."
"334","R_1mw7tqfy0sL1A8K","When it is an honest mistake and the other person admits to it and apologizes sincerely."
"335","R_3MAaqZ1WfIiKZbk","Over a small or simply inconvenient circumstance"
"336","R_3g11DwRiuEZlh6G","Any situation where communication and empathy could fix the situation."
"337","R_2PbRrgi8v99dAhb","When someone forgets that they owe you money."
"338","R_dgPzrqwDyAm8P05","I think it's wrong to keep holding a grudge after the person asks for forgiveness or it has been a long time since the person was wronged."
"339","R_6X76FSPmg351fKF","I truly believe all circumstances are wrong to hold a grudge in."
"340","R_3GfEEfvnBvMFKlj","A situation where the other party is reasonable"
"341","R_1EhVzvHu6YuELtE","Why is it so easy to hold a grudge? Being hurt by someone, particularly someone you love and trust, can cause anger, sadness and confusion. If you dwell on hurtful events or situations, grudges filled with resentment, vengeance and hostility can take root."
"342","R_2EbYSIP971Aqp8x","If someone did not intentionally speak to you rudely."
"343","R_yOQ9w9YKU4yNMHL","It is wrong to hold a grudge when someone has simply rubbed you the wrong way or you feel their personality is abrasive to yours or when someone has made a genuine attempt to make amends."
"344","R_2uNTYuWIAGmQKB9","If a person holds a grudge against someone for a minor thing, such as bumping into them on accident."
"345","R_abjQy8hK4eeX5cJ","In all circumstance it is wrong to hold a grudge"
"346","R_2yfwpFMfl1X1wGh","When your feelings are hurt because of an outcome."
"347","R_09fNANUTpYSh01r","If there is no harm involved. Or if it involves something extremely small/trivial."
"348","R_3FQlbih994aJvZ9","when it was a fair battle and you lost"
"349","R_2qdwIpvo6gr4dbf","For the most part, I think it's wrong.  If some makes a mistake and talks to you about it and apologizes sincerely and doesn't keep doing it, there is no need to hold a grudge."
"350","R_tDlS6jPG48SZdMB","If you spill someone's drink"
"351","R_1gShNsxflriu4Ap","Over misunderstandings and biases that have been cleared."
"352","R_2SJDysEvK5DYujR","When that grudge is because someone else views aren't the same as yours."
"353","R_1gGCU6QBPtUt1fU","If someone has said something very minuscule to you that hurt your feelings you probably shouldn’t hold a grudge."
"354","R_D94LUqoQksELZ85","I think it is wrong to hold a grudge when someone unknowingly hurts you or someone you care about or if they sincerely apologize and change their behavior."
"355","R_NXZVHkhDZQ9hewN","When you don't like someone for shallow, superficial reasons."
"356","R_1cU6q0TYqzrRmJj","Over an issue that is minor, it would be wrong to hold a grudge. Is it just a minor disagreement? Did it hurt or harm you or others? Did it go against your beliefs, moral values, and principles? If not, get over it, say I'm sorry, agree to disagree, and either stay friends or walk away."
"357","R_1pSZVW6TQlrHOIj","when someone did not intend to hurt you"
"358","R_2CsoB6N3ioeNUIS","When the mistake occurred as a misunderstanding"
"359","R_33r83fL5PSFHzDT","When somebody has objectively outworked and outperformed you."
"360","R_232GKuOxpWBDWXi","It might be wrong to hold a grudge if the wrongdoing that prompted it wasn't intentional or isn't severe/repeated."
"361","R_24ctuSIVv4jVPpA","Someone accidentally stole your chair at work."
"362","R_3KMDlT5Kqp7bKV7","If the person has a reasonable explanation"
"363","R_1LFPjW0WWjUCWnj","If your waiter took longer than expected to bring you your food. That is something that is out of their control."
"364","R_1ghDZh4oS4P2bAa","I think it is wrong to hold a grudge against family members for small differences of opinion."
"365","R_2OGW2kSpDQia7fi","When you know that you wrong but still want revenge."
"366","R_yKhaR0g9jP5xgcx","Whenever it comes between family or people that you love and enjoy spending time with each other."
"367","R_3EGpepYBatL11Nd","When someone did not actually harm you, or caused moderate harm, but is able to express true regret and makes all effort to never do so again."
"368","R_wLVTw1WfE3NfTwt","If someone snaps at you after a hard day, when you ask your spouse something and they snap at you."
"369","R_2Vf4wLrNJ4ristn","Over a trivial argument."
"370","R_3nMEVNYamk6NjDJ","Against an innocent person.
"
"371","R_2dDNw8DAAnFX735","When someone hurts you without vicious intent and they show genuine remorse for it."
"372","R_UovRnlcxjJT65qN","I believe it is wrong to hold grudges regarding petty issues like arguments about everyday stuff."
"373","R_2axhvKLyoddEbY7","If the other person has apologized and made steps to correct their behavior, then I think it is wrong to hold a grudge."
"374","R_eFGIu2MzWaLkCZ3","When you haven't attempted to correct what was wrong between you and the person/people."
"375","R_2uKAsYtQicBA84V","It is wrong to hold a grudge when there are legitimate, alternative ways of assessing some perceived injustice or wrong. In other words, if there was even the possibility that one's anger was due to a misunderstanding, then a grudge should not be held unless there has been a sincere effort to mend the breach between the two parties."
"376","R_1Lul3hSB1RE2RGr","I think its wrong to hold a grudge when the other party truly thinks what they did wasn't wrong, but they apologize for it anyways."
"377","R_1Pe02saIzOw3gYM","if someone gets a promotion instead of you."
"378","R_CmBojDofiGVmc2B","if something someone did was an accident"
"379","R_3JKromXMz0tS7P2","If someone accidentally broke your coffee mug and told you about it and apologized a million times."
"380","R_3HCbSkj29cQpsmP","If you are holding a grudge simply of jealousy, it may be worthwhile to rethink whether it's appropriate to do so or not."
"381","R_8kvHiJlty52pRAJ","when you have been hurt and it was an accident, an unintentional event. bascially the opposite of the situation described earlier where a grudge was justified"
"382","R_2TRVKxlSNNISOkk","I think it's wrong to hold one for very long. It just upsets you and is bad for your mental health."
"383","R_3qvwUMlBuQbub6t","Over small things that maybe the other person didn't know they were doing or had no control over."
"384","R_3nJHWBr3ITzf9Pn","I think it would be wrong to hold a grudge if someone did something little to bother someone else when they had no idea that what they were doing was disliked by the other person."
"385","R_UtZ7z2sL6Tv2XqV","It is wrong to hold a grudge when you lose something that is not important like a toy or food"
"386","R_wS6axwprAU0v3R7","If someone made a truly genuine mistake like they sent your package to the wrong house and you never got it."
"387","R_9FiFnum2NEHeWxb","If your friend didn't invite you to a ski trip because she knew you didn't like to ski."
"388","R_3M9ksfMZ1BcAflS","I think when someone does something that they are truly sorry for that doesn't include murder then it is fair to not hold a grudge. It's also healthy. You shouldn't hold a grudge when someone is truly sorry and has repented."
"389","R_3DhIXvK2EPWIPvy","If someone does something for you hoping that it will help, but it ends up harming you. If they sincerely apologize, and their intentions are genuine, there's no reason to hold a grudge."
"390","R_3sdLMDP1jJvDy90","When the grudge doesn't have long-lasting repercussions, or the reason for the grudge was so long ago it was forgotten, or if it could be resolved by having a mature discussion, or if recompense was made and agreed upon by both parties"
"391","R_2zpFuKl81nPaNOn","It is wrong to hold a grudge when someone almost hits you while driving"
"392","R_1CkgIeMqN6Yycps","If something was done accidentally, I don't think a grudge is warranted. I think intent is something that people need to take into account in these situations. I think if someone hurt someone's feelings but didn't mean it and this isn't a regular occurrence, then it should be forgiven."
"393","R_1JXcwHgKbUMuUVJ","I think it is wrong to hold a grudge against someone when they have mistakenly hurt you, have significantly changed and apologized since hurting you, or there were other factors that played into the reason/cause of them hurting you. An apology is very important in all of these scenarios."
"394","R_24IsVOiHHnBJoYE","If a friend messes up in a genuinely accidental way"
"395","R_2uJuycCy6b3hGDr","When you have minor issues that can be easily resolved"
"396","R_qQ8Uje07zhwkPlf","someone hitting a trigger,but its an innocent remark"
"397","R_RWdzBXj1mXFy9Wx","It is wrong to hold a grudge period."
"398","R_2pQRaZc5kIusRsU","When someone received something that you wanted, such as a promotion."
"399","R_1la7y7vn8gGWnMt","In a situation where a person accidentally harmed you and has asked forgiveness and made restitution."
"400","R_274lmZB2oivlCbL","If it was an accident."
"401","R_XGkFhrwNzsaM6Ln","when someone makes a joke, sometimes it is only a joke, a some peole get mad about that"
"402","R_2CVtl6K9beFHhN2","When the other person is genuinely sorry and feels bad for what happened, or when it was an accident"
"403","R_2zISVNbyggtfpFy","started issue"
"404","R_1KjPR8FOPPQJCI9","Always"
"405","R_3ma8PSOsz306763","All reasons."
